,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1.0,0.811,0.85,0.8477,0.8066,0.829,0.8364,0.781,0.764,0.7964,0.797,0.803,0.841,0.8115,0.841,0.804,0.8022,0.7134,0.858,0.804,0.861,0.842,0.8467,0.842,0.8145
1,0.811,1.0,0.835,0.8267,0.8105,0.826,0.831,0.7817,0.7812,0.787,0.7983,0.8027,0.843,0.909,0.819,0.784,0.8022,0.693,0.8315,0.7783,0.838,0.8076,0.8213,0.8096,0.7827
2,0.85,0.835,1.001,0.8525,0.841,0.842,0.8335,0.843,0.782,0.83,0.811,0.8604,0.8765,0.807,0.8594,0.8247,0.847,0.705,0.8364,0.8096,0.884,0.855,0.8584,0.85,0.837
3,0.8477,0.8267,0.8525,0.9995,0.839,0.8765,0.862,0.8076,0.7983,0.81,0.8174,0.825,0.838,0.8325,0.83,0.825,0.8105,0.7554,0.8765,0.807,0.866,0.8403,0.8394,0.8438,0.824
4,0.8066,0.8105,0.841,0.839,1.0,0.8164,0.821,0.796,0.7754,0.7905,0.8057,0.8096,0.8315,0.789,0.8364,0.7974,0.7837,0.7163,0.8354,0.789,0.8613,0.8384,0.841,0.83,0.8
5,0.829,0.826,0.842,0.8765,0.8164,1.001,0.869,0.798,0.799,0.8145,0.8047,0.823,0.843,0.818,0.8394,0.7974,0.8066,0.7676,0.9155,0.817,0.875,0.8325,0.849,0.857,0.8247
6,0.8364,0.831,0.8335,0.862,0.821,0.869,1.001,0.858,0.8066,0.8516,0.799,0.8647,0.8394,0.8535,0.845,0.811,0.7925,0.7856,0.8594,0.824,0.858,0.8184,0.8276,0.8726,0.8374
7,0.781,0.7817,0.843,0.8076,0.796,0.798,0.858,1.0,0.7603,0.8765,0.751,0.912,0.831,0.788,0.82,0.8145,0.7964,0.746,0.806,0.7944,0.832,0.8027,0.797,0.862,0.8154
8,0.764,0.7812,0.782,0.7983,0.7754,0.799,0.8066,0.7603,0.9995,0.7783,0.808,0.7773,0.7905,0.7812,0.798,0.7666,0.7485,0.802,0.7876,0.8013,0.819,0.777,0.7993,0.8076,0.791
9,0.7964,0.787,0.83,0.81,0.7905,0.8145,0.8516,0.8765,0.7783,1.001,0.747,0.886,0.888,0.7837,0.826,0.8076,0.8496,0.757,0.815,0.7974,0.832,0.791,0.8013,0.861,0.8164
